"freq
References : ['S(2,1)','S(4,3)','S(6,5)']
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(4,3)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(6,5)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag"
3.850 GHz,-0.554 + j0.691 ,-0.607 + j0.494 ,-0.426 + j0.727 
3.900 GHz,-0.477 + j0.769 ,-0.560 + j0.587 ,-0.346 + j0.787 
3.950 GHz,-0.389 + j0.836 ,-0.497 + j0.675 ,-0.257 + j0.834 
4.000 GHz,-0.291 + j0.891 ,-0.419 + j0.754 ,-0.162 + j0.871 
4.050 GHz,-0.186 + j0.931 ,-0.327 + j0.822 ,-0.063 + j0.893 
4.100 GHz,-0.076 + j0.956 ,-0.224 + j0.875 ,0.039 + j0.904 
4.150 GHz,0.035 + j0.967 ,-0.114 + j0.913 ,0.140 + j0.900 
4.200 GHz,0.146 + j0.963 ,0.002 + j0.934 ,0.241 + j0.885 
4.250 GHz,0.255 + j0.945 ,0.119 + j0.937 ,0.337 + j0.857 
4.300 GHz,0.359 + j0.915 ,0.236 + j0.924 ,0.430 + j0.819 
4.350 GHz,0.458 + j0.873 ,0.348 + j0.895 ,0.516 + j0.771 
4.400 GHz,0.550 + j0.820 ,0.455 + j0.852 ,0.596 + j0.713 
4.450 GHz,0.635 + j0.758 ,0.554 + j0.795 ,0.667 + j0.649 
4.500 GHz,0.711 + j0.688 ,0.644 + j0.728 ,0.731 + j0.577 
4.550 GHz,0.778 + j0.611 ,0.724 + j0.650 ,0.786 + j0.500 
4.600 GHz,0.837 + j0.529 ,0.793 + j0.566 ,0.833 + j0.418 
4.650 GHz,0.886 + j0.441 ,0.851 + j0.474 ,0.870 + j0.333 
4.700 GHz,0.925 + j0.351 ,0.897 + j0.378 ,0.898 + j0.245 
4.750 GHz,0.955 + j0.257 ,0.933 + j0.279 ,0.917 + j0.156 
4.800 GHz,0.976 + j0.163 ,0.957 + j0.177 ,0.928 + j0.066 
4.850 GHz,0.987 + j0.067 ,0.970 + j0.075 ,0.929 - j0.024 
4.900 GHz,0.988 - j0.029 ,0.972 - j0.027 ,0.922 - j0.113 
4.950 GHz,0.981 - j0.124 ,0.963 - j0.129 ,0.907 - j0.200 
5.000 GHz,0.965 - j0.217 ,0.944 - j0.228 ,0.884 - j0.285 
5.050 GHz,0.940 - j0.307 ,0.915 - j0.324 ,0.852 - j0.367 
5.100 GHz,0.906 - j0.395 ,0.876 - j0.416 ,0.814 - j0.446 
5.150 GHz,0.865 - j0.479 ,0.829 - j0.503 ,0.768 - j0.520 
5.200 GHz,0.816 - j0.558 ,0.773 - j0.584 ,0.716 - j0.589 
5.250 GHz,0.761 - j0.632 ,0.710 - j0.659 ,0.658 - j0.653 
5.300 GHz,0.698 - j0.700 ,0.639 - j0.728 ,0.595 - j0.712 
5.350 GHz,0.630 - j0.761 ,0.562 - j0.788 ,0.526 - j0.764 
5.400 GHz,0.557 - j0.816 ,0.480 - j0.841 ,0.453 - j0.809 
5.450 GHz,0.479 - j0.864 ,0.393 - j0.885 ,0.377 - j0.848 
5.500 GHz,0.398 - j0.905 ,0.302 - j0.919 ,0.297 - j0.879 
5.550 GHz,0.313 - j0.937 ,0.208 - j0.945 ,0.215 - j0.903 
5.600 GHz,0.226 - j0.961 ,0.112 - j0.961 ,0.131 - j0.919 
5.650 GHz,0.138 - j0.978 ,0.015 - j0.967 ,0.046 - j0.927 
5.700 GHz,0.048 - j0.986 ,-0.082 - j0.964 ,-0.040 - j0.928 
5.750 GHz,-0.041 - j0.986 ,-0.178 - j0.950 ,-0.125 - j0.920 
5.800 GHz,-0.130 - j0.978 ,-0.272 - j0.927 ,-0.209 - j0.905 
5.850 GHz,-0.217 - j0.962 ,-0.364 - j0.895 ,-0.291 - j0.882 
5.900 GHz,-0.303 - j0.938 ,-0.452 - j0.853 ,-0.371 - j0.851 
5.950 GHz,-0.385 - j0.907 ,-0.535 - j0.802 ,-0.447 - j0.813 
6.000 GHz,-0.465 - j0.869 ,-0.613 - j0.743 ,-0.520 - j0.769 
6.050 GHz,-0.540 - j0.823 ,-0.684 - j0.676 ,-0.588 - j0.717 
6.100 GHz,-0.611 - j0.772 ,-0.748 - j0.602 ,-0.651 - j0.660 
6.150 GHz,-0.677 - j0.715 ,-0.803 - j0.522 ,-0.709 - j0.597 
6.200 GHz,-0.737 - j0.652 ,-0.850 - j0.436 ,-0.760 - j0.529 
6.250 GHz,-0.792 - j0.584 ,-0.888 - j0.346 ,-0.805 - j0.456 
6.300 GHz,-0.841 - j0.512 ,-0.915 - j0.253 ,-0.843 - j0.380 
6.350 GHz,-0.883 - j0.436 ,-0.932 - j0.158 ,-0.873 - j0.300 
6.400 GHz,-0.918 - j0.356 ,-0.939 - j0.061 ,-0.896 - j0.218 
6.450 GHz,-0.946 - j0.274 ,-0.935 + j0.035 ,-0.911 - j0.135 
6.500 GHz,-0.967 - j0.190 ,-0.921 + j0.129 ,-0.918 - j0.051 
6.550 GHz,-0.980 - j0.104 ,-0.897 + j0.220 ,-0.917 + j0.034 
6.600 GHz,-0.986 - j0.017 ,-0.863 + j0.307 ,-0.908 + j0.118 
6.650 GHz,-0.984 + j0.070 ,-0.821 + j0.390 ,-0.892 + j0.200 
6.700 GHz,-0.974 + j0.156 ,-0.771 + j0.466 ,-0.868 + j0.281 
6.750 GHz,-0.957 + j0.241 ,-0.713 + j0.535 ,-0.837 + j0.358 
6.800 GHz,-0.932 + j0.324 ,-0.650 + j0.597 ,-0.798 + j0.433 
6.850 GHz,-0.900 + j0.405 ,-0.582 + j0.652 ,-0.754 + j0.503 
6.900 GHz,-0.861 + j0.483 ,-0.510 + j0.698 ,-0.703 + j0.568 
6.950 GHz,-0.815 + j0.557 ,-0.436 + j0.736 ,-0.646 + j0.629 
7.000 GHz,-0.763 + j0.626 ,-0.359 + j0.766 ,-0.584 + j0.683 
7.050 GHz,-0.705 + j0.691 ,-0.281 + j0.788 ,-0.518 + j0.732 
7.100 GHz,-0.641 + j0.750 ,-0.203 + j0.802 ,-0.448 + j0.774 
7.150 GHz,-0.573 + j0.803 ,-0.126 + j0.809 ,-0.374 + j0.810 
7.200 GHz,-0.500 + j0.850 ,-0.050 + j0.809 ,-0.298 + j0.839 
7.250 GHz,-0.423 + j0.890 ,0.025 + j0.803 ,-0.219 + j0.860 
7.300 GHz,-0.344 + j0.923 ,0.097 + j0.790 ,-0.139 + j0.875 
7.350 GHz,-0.262 + j0.948 ,0.167 + j0.771 ,-0.059 + j0.882 
7.400 GHz,-0.178 + j0.967 ,0.235 + j0.747 ,0.022 + j0.881 
7.450 GHz,-0.093 + j0.978 ,0.299 + j0.718 ,0.103 + j0.874 
7.500 GHz,-0.007 + j0.981 ,0.360 + j0.684 ,0.182 + j0.859 
7.550 GHz,0.078 + j0.977 ,0.418 + j0.646 ,0.260 + j0.837 
7.600 GHz,0.162 + j0.966 ,0.473 + j0.604 ,0.335 + j0.807 
7.650 GHz,0.245 + j0.947 ,0.524 + j0.558 ,0.407 + j0.772 
7.700 GHz,0.326 + j0.922 ,0.571 + j0.507 ,0.476 + j0.730 
7.750 GHz,0.404 + j0.889 ,0.614 + j0.454 ,0.540 + j0.681 
7.800 GHz,0.479 + j0.851 ,0.654 + j0.396 ,0.600 + j0.627 
7.850 GHz,0.550 + j0.806 ,0.689 + j0.335 ,0.655 + j0.568 
7.900 GHz,0.617 + j0.755 ,0.719 + j0.271 ,0.703 + j0.504 
7.950 GHz,0.679 + j0.698 ,0.745 + j0.204 ,0.746 + j0.435 
8.000 GHz,0.736 + j0.637 ,0.765 + j0.133 ,0.783 + j0.363 
8.050 GHz,0.788 + j0.571 ,0.780 + j0.059 ,0.813 + j0.288 
8.100 GHz,0.834 + j0.501 ,0.789 - j0.017 ,0.835 + j0.210 
8.150 GHz,0.874 + j0.427 ,0.791 - j0.097 ,0.850 + j0.130 
8.200 GHz,0.907 + j0.350 ,0.785 - j0.178 ,0.858 + j0.049 
8.250 GHz,0.934 + j0.271 ,0.772 - j0.262 ,0.858 - j0.033 
8.300 GHz,0.954 + j0.189 ,0.749 - j0.348 ,0.850 - j0.114 
8.350 GHz,0.967 + j0.107 ,0.715 - j0.433 ,0.835 - j0.195 
