2.00,0.877 + j0.392 
2.01,0.926 + j0.251 
2.02,0.954 + j0.104 
2.03,0.958 - j0.046 
2.04,0.939 - j0.194 
2.05,0.897 - j0.337 
2.06,0.833 - j0.472 
2.07,0.749 - j0.595 
2.08,0.648 - j0.704 
2.09,0.530 - j0.796 
2.10,0.400 - j0.868 
2.11,0.260 - j0.919 
2.12,0.114 - j0.948 
2.13,-0.035 - j0.954
2.14,-0.182 - j0.936
2.15,-0.325 - j0.896
2.16,-0.46 - j0.834
2.17,-0.584 - j0.752
2.18,-0.694 - j0.652
2.19,-0.786 - j0.536
2.20,-0.86 - j0.407
2.21,-0.912 - j0.268
2.22,-0.942 - j0.123
2.23,-0.949 + j0.025
2.24,-0.933 + j0.172
2.25,-0.895 + j0.315
2.26,-0.834 + j0.451
2.27,-0.754 + j0.575
2.28,-0.655 + j0.685
2.29,-0.54 + j0.778
2.30,-0.412 + j0.852
2.31,-0.274 + j0.905
2.32,-0.13 + j0.937
2.33,0.017 + j0.945 
2.34,0.164 + j0.930 
2.35,0.307 + j0.893 
2.36,0.442 + j0.834 
2.37,0.567 + j0.755 
2.38,0.677 + j0.657 
2.39,0.771 + j0.543 
2.40,0.846 + j0.416 
2.41,0.900 + j0.279 
2.42,0.932 + j0.135 
2.43,0.941 - j0.012 
2.44,0.927 - j0.159 
2.45,0.891 - j0.302 
2.46,0.832 - j0.437 
2.47,0.753 - j0.562 
2.48,0.655 - j0.673 
2.49,0.541 - j0.767 
2.50,0.413 - j0.842 
2.51,0.275 - j0.895 
2.52,0.131 - j0.925 
2.53,-0.015 - j0.932
2.54,-0.16 - j0.917
2.55,-0.3 - j0.880
2.56,-0.434 - j0.822
2.57,-0.557 - j0.744
2.58,-0.666 - j0.647
2.59,-0.759 - j0.535
2.60,-0.834 - j0.409
2.61,-0.887 - j0.273
2.62,-0.919 - j0.129
2.63,-0.927 + j0.017
2.64,-0.913 + j0.163
2.65,-0.875 + j0.305
2.66,-0.816 + j0.439
2.67,-0.736 + j0.562
2.68,-0.638 + j0.671
2.69,-0.523 + j0.764
2.70,-0.395 + j0.836
2.71,-0.258 + j0.888
2.72,-0.114 + j0.917
2.73,0.034 + j0.923 
2.74,0.180 + j0.906 
2.75,0.321 + j0.865 
2.76,0.455 + j0.803 
2.77,0.576 + j0.720 
2.78,0.683 + j0.619 
2.79,0.773 + j0.502 
2.80,0.843 + j0.372 
2.81,0.891 + j0.232 
2.82,0.916 + j0.087 
2.83,0.918 - j0.061 
2.84,0.896 - j0.207 
2.85,0.850 - j0.348 
2.86,0.783 - j0.480 
2.87,0.695 - j0.599 
2.88,0.590 - j0.703 
2.89,0.469 - j0.789 
2.90,0.335 - j0.854 
2.91,0.192 - j0.896 
2.92,0.045 - j0.915 
2.93,-0.104 - j0.909
2.94,-0.25 - j0.880
2.95,-0.39 - j0.827
2.96,-0.519 - j0.752
2.97,-0.635 - j0.657
2.98,-0.733 - j0.545
2.99,-0.812 - j0.417
3.00,-0.869 - j0.279
3.01,-0.902 - j0.132
3.02,-0.911 + j0.018
3.03,-0.895 + j0.168
3.04,-0.855 + j0.313
3.05,-0.791 + j0.450
3.06,-0.705 + j0.574
3.07,-0.6 + j0.683
3.08,-0.478 + j0.772
3.09,-0.343 + j0.841
3.10,-0.198 + j0.885
3.11,-0.047 + j0.905
3.12,0.105 + j0.900 
3.13,0.255 + j0.869 
3.14,0.397 + j0.813 
3.15,0.527 + j0.734 
3.16,0.643 + j0.634 
3.17,0.740 + j0.516 
3.18,0.816 + j0.382 
3.19,0.869 + j0.238 
3.20,0.896 + j0.087 
3.21,0.897 - j0.067 
3.22,0.871 - j0.220 
3.23,0.819 - j0.366 
3.24,0.742 - j0.501 
3.25,0.644 - j0.621 
3.26,0.526 - j0.722 
3.27,0.392 - j0.802 
3.28,0.246 - j0.857 
3.29,0.092 - j0.885 
3.30,-0.064 - j0.887
3.31,-0.219 - j0.859
3.32,-0.368 - j0.805
3.33,-0.504 - j0.725
3.34,-0.624 - j0.622
3.35,-0.724 - j0.499
3.36,-0.8 - j0.360
3.37,-0.85 - j0.209
3.38,-0.871 - j0.051
3.39,-0.864 + j0.108
3.40,-0.828 + j0.263
3.41,-0.762 + j0.410
3.42,-0.67 + j0.542
3.43,-0.555 + j0.655
3.44,-0.421 + j0.744
3.45,-0.272 + j0.807
3.46,-0.114 + j0.840
3.47,0.048 + j0.842 
3.48,0.207 + j0.814 
3.49,0.357 + j0.755 
3.50,0.494 + j0.668 
3.51,0.611 + j0.555 
3.52,0.704 + j0.420 
3.53,0.768 + j0.270 
3.54,0.800 + j0.111 
3.55,0.800 - j0.052 
3.56,0.766 - j0.211 
3.57,0.701 - j0.360 
3.58,0.607 - j0.492 
3.59,0.487 - j0.602 
3.60,0.347 - j0.684 
3.61,0.192 - j0.734 
3.62,0.030 - j0.749 
3.63,-0.13 - j0.730
3.64,-0.283 - j0.676
3.65,-0.419 - j0.590
3.66,-0.532 - j0.477
3.67,-0.618 - j0.342
3.68,-0.671 - j0.192
3.69,-0.689 - j0.035
3.70,-0.671 + j0.122
3.71,-0.616 + j0.270
3.72,-0.53 + j0.400
3.73,-0.417 + j0.507
3.74,-0.283 + j0.585
3.75,-0.136 + j0.629
3.76,0.017 + j0.637 
3.77,0.166 + j0.610 
3.78,0.304 + j0.550 
3.79,0.424 + j0.459 
3.80,0.519 + j0.344 
3.81,0.584 + j0.210 
3.82,0.615 + j0.065 
3.83,0.612 - j0.082 
3.84,0.576 - j0.224 
3.85,0.508 - j0.353 
