Frequency (Hz),Real,Imaginary,Real,Imaginary
5500000000,-0.030281067,0.171722412,0.013240814,0.04797554
5545000000,-0.003189087,0.172683716,0.028179169,0.039161682
5590000000,0.020347595,0.166320801,0.039390564,0.026992798
5635000000,0.0470047,0.156326294,0.05802536,-0.00330162
5680000000,0.069664001,0.124809265,0.031242371,-0.074501038
5725000000,0.065368652,0.096557617,-0.063972473,-0.060443878
5770000000,0.064483643,0.069374084,-0.083690643,-0.002895355
5815000000,0.065040588,0.055076599,-0.060573578,0.026697159
5860000000,0.048839569,0.004497528,-0.056945801,0.026355743
5905000000,0.001722336,0.014993668,-0.058990479,0.034736633
5950000000,-0.006171227,0.011200905,-0.063339233,0.038528442
5995000000,-0.030130386,0.006906509,-0.071617126,0.053504944
6040000000,-0.050369263,0.011651993,-0.070056915,0.066688538
6085000000,-0.078418732,0.018558502,-0.076007843,0.084144592
6130000000,-0.101779938,0.041572571,-0.069187164,0.109375
6175000000,-0.119235992,0.063976288,-0.060562134,0.129798889
6220000000,-0.131103516,0.098144531,-0.041664124,0.153625488
6265000000,-0.131645203,0.130874634,-0.017120361,0.167724609
6310000000,-0.131095886,0.167625427,0.009391785,0.182800293
6355000000,-0.11151123,0.206443787,0.045593262,0.186599731
6400000000,-0.088829041,0.235397339,0.077522278,0.182991028
6445000000,-0.054946899,0.265640259,0.112442017,0.170532227
6490000000,-0.018096924,0.280731201,0.139984131,0.148880005
6535000000,0.027481079,0.292953491,0.164199829,0.121994019
6580000000,0.073852539,0.288223267,0.178405762,0.089385986
6625000000,0.118835449,0.28086853,0.186820984,0.056091309
6670000000,0.161270142,0.255889893,0.183334351,0.021980286
6715000000,0.196929932,0.230941772,0.176345825,-0.006706238
6760000000,0.227249146,0.188812256,0.162307739,-0.032653809
6805000000,0.240783691,0.150634766,0.143028259,-0.052474976
6850000000,0.250717163,0.103149414,0.119754791,-0.063720703
6895000000,0.242965698,0.054580688,0.095249176,-0.067565918
6940000000,0.222015381,0.019233704,0.078224182,-0.056938171
6985000000,0.201499939,-0.006027222,0.076408386,-0.047294617
7030000000,0.184669495,-0.037605286,0.079719543,-0.054450989
7075000000,0.165046692,-0.056358337,0.07409668,-0.076763153
7120000000,0.130187988,-0.069793701,0.058319092,-0.067584991
7165000000,0.097587585,-0.074764252,0.0505867,-0.078559875
7210000000,0.066417694,-0.074611664,0.030315399,-0.071502686
7255000000,0.038211823,-0.061697006,0.028808594,-0.061790466
7300000000,0.013820648,-0.049039841,0.025676727,-0.05916214
7345000000,-0.003716469,-0.027104378,0.025590897,-0.056619644
7390000000,-0.014557838,-0.004303932,0.024822235,-0.058521271
7435000000,-0.019182205,0.02258873,0.023103714,-0.059057236
7480000000,-0.013570786,0.041229248,0.020656586,-0.068405151
7525000000,-0.006427765,0.063400269,0.009349823,-0.072944641
7570000000,0.012569427,0.081451416,0.003780365,-0.07818985
7615000000,0.027557373,0.09021759,-0.005615234,-0.081375122
7660000000,0.049797058,0.095687866,-0.017204285,-0.0834198
7705000000,0.065368652,0.093338013,-0.034931183,-0.088035583
7750000000,0.08291626,0.083847046,-0.04586792,-0.077415466
7795000000,0.101570129,0.063812256,-0.061859131,-0.071052551
7840000000,0.112869263,0.055503845,-0.086990356,-0.062416077
7885000000,0.115287781,0.035072327,-0.096374512,-0.048217773
7930000000,0.112014771,0.017173767,-0.108108521,-0.027870178
7975000000,0.107757568,0.000747681,-0.113704681,-0.011146545
8020000000,0.094062805,-0.011425018,-0.127075195,0.011444092
8065000000,0.076538086,-0.020748138,-0.11945343,0.036373138
8110000000,0.059089661,-0.026779175,-0.121376038,0.057243347
8155000000,0.039173126,-0.021219254,-0.112998962,0.08391571
8200000000,0.023780823,-0.014580727,-0.098434448,0.103248596
8245000000,0.007818222,0.000156879,-0.080055237,0.128471375
8290000000,0.002308846,0.017865181,-0.060943604,0.145637512
8335000000,-0.005020142,0.035541534,-0.04335022,0.162033081
8380000000,-0.00043869,0.058843613,-0.0129776,0.173576355
8425000000,0.006465912,0.076076508,0.014450073,0.177337646
8470000000,0.013931274,0.093505859,0.04397583,0.175369263
8515000000,0.033332825,0.113464355,0.065612793,0.17010498
8560000000,0.05708313,0.122756958,0.092407227,0.161445618
8605000000,0.08215332,0.125778198,0.118881226,0.149124146
8650000000,0.104408264,0.124702454,0.142272949,0.135314941
8695000000,0.12412262,0.119697571,0.158782959,0.115280151
8740000000,0.146469116,0.105178833,0.169174194,0.087890625
8785000000,0.162567139,0.096557617,0.188705444,0.066665649
8830000000,0.175590515,0.083580017,0.196029663,0.044433594
8875000000,0.186538696,0.067398071,0.195465088,0.021812439
8920000000,0.195266724,0.053451538,0.194564819,-0.0026474
8965000000,0.199775696,0.033988953,0.185760498,-0.021652222
9010000000,0.218605042,0.017715454,0.184997559,-0.054450989
9055000000,0.222007751,0.00151825,0.175453186,-0.070320129
9100000000,0.223007202,-0.017112732,0.164520264,-0.081932068
9145000000,0.230384827,-0.041114807,0.148422241,-0.103759766
9190000000,0.229431152,-0.064903259,0.135910034,-0.116424561
